Source,Kategori,Nama Produk,Extracted,text_cleaned,text_stopwords_removed,clean_text,token_awal,token_akhir,reduksi,persen_%
Generate,Cicilan,Bayar Cicilan Laptop,Bayar Cicilan Laptop,bayar cicilan laptop,cicilan laptop,cicil laptop,3.0,2.0,1.0,33.3
Generate,Cicilan,Bayar Kredit Elektronik,Bayar Kredit Elektronik,bayar kredit elektronik,kredit elektronik,kredit elektronik,3.0,2.0,1.0,33.3
Generate,Cicilan,Tagihan Kredit TV,Tagihan Kredit TV,tagihan kredit tv,tagihan kredit tv,tagih kredit tv,3.0,3.0,0.0,0.0
Generate,Cicilan,Pembayaran Kredit Kulkas,Pembayaran Kredit Kulkas,pembayaran kredit kulkas,pembayaran kredit kulkas,bayar kredit kulkas,3.0,3.0,0.0,0.0
Generate,Cicilan,Bayar Kredit AC,Bayar Kredit AC,bayar kredit ac,kredit ac,kredit ac,3.0,2.0,1.0,33.3
Generate,Cicilan,Bayar Kredit Mesin Cuci,Bayar Kredit Mesin Cuci,bayar kredit mesin cuci,kredit mesin,kredit mesin,4.0,2.0,2.0,50.0
Generate,Cicilan,Bayar Kredit iPhone,Bayar Kredit iPhone,bayar kredit iphone,kredit iphone,kredit iphone,3.0,2.0,1.0,33.3
Generate,Cicilan,Bayar Kredit Samsung,Bayar Kredit Samsung,bayar kredit samsung,kredit samsung,kredit samsung,3.0,2.0,1.0,33.3
Generate,Cicilan,Bayar Kredit Oppo,Bayar Kredit Oppo,bayar kredit oppo,kredit oppo,kredit oppo,3.0,2.0,1.0,33.3
Generate,Cicilan,Bayar Kredit Vivo,Bayar Kredit Vivo,bayar kredit vivo,kredit vivo,kredit vivo,3.0,2.0,1.0,33.3
Generate,Cicilan,Bayar Kredit Xiaomi,Bayar Kredit Xiaomi,bayar kredit xiaomi,kredit xiaomi,kredit xiaomi,3.0,2.0,1.0,33.3
Generate,Cicilan,Tagihan Kredit Gadget,Tagihan Kredit Gadget,tagihan kredit gadget,tagihan kredit gadget,tagih kredit gadget,3.0,3.0,0.0,0.0
Generate,Cicilan,Cicilan HP Bulanan,Cicilan HP Bulanan,cicilan hp bulanan,cicilan hp bulanan,cicil hp bulan,3.0,3.0,0.0,0.0
Generate,Cicilan,Cicilan Laptop Bulanan,Cicilan Laptop Bulanan,cicilan laptop bulanan,cicilan laptop bulanan,cicil laptop bulan,3.0,3.0,0.0,0.0
Generate,Cicilan,Cicilan Elektronik Bulanan,Cicilan Elektronik Bulanan,cicilan elektronik bulanan,cicilan elektronik bulanan,cicil elektronik bulan,3.0,3.0,0.0,0.0
Generate,Cicilan,Bayar Pinjaman Tunaiku,Bayar Pinjaman Tunaiku,bayar pinjaman tunaiku,pinjaman tunaiku,pinjam tunai,3.0,2.0,1.0,33.3
Generate,Cicilan,Tagihan Tunaiku,Tagihan Tunaiku,tagihan tunaiku,tagihan tunaiku,tagih tunai,2.0,2.0,0.0,0.0
Generate,Cicilan,Bayar Pinjaman Kredit Pintar,Bayar Pinjaman Kredit Pintar,bayar pinjaman kredit pintar,pinjaman kredit,pinjam kredit,4.0,2.0,2.0,50.0
Generate,Cicilan,Tagihan Kredit Pintar,Tagihan Kredit Pintar,tagihan kredit pintar,tagihan kredit,tagih kredit,3.0,2.0,1.0,33.3
Generate,Cicilan,Bayar Pinjaman Danafix,Bayar Pinjaman Danafix,bayar pinjaman danafix,pinjaman danafix,pinjam danafix,3.0,2.0,1.0,33.3
Generate,Cicilan,Tagihan Danafix,Tagihan Danafix,tagihan danafix,tagihan danafix,tagih danafix,2.0,2.0,0.0,0.0
Generate,Cicilan,Bayar Pinjaman Easycash,Bayar Pinjaman Easycash,bayar pinjaman easycash,pinjaman easycash,pinjam easycash,3.0,2.0,1.0,33.3
Generate,Cicilan,Tagihan Easycash,Tagihan Easycash,tagihan easycash,tagihan easycash,tagih easycash,2.0,2.0,0.0,0.0
