Source,Nama Produk,Extracted,text_cleaned,text_stopwords_removed,clean_text,token_awal,token_akhir,reduksi,persen_%
Shopee,Pembalut MISSY PURE COMFORT All Varian / Bebas Bergerak Seharian / Menyerap 3x Lebih cepat / Bebas Klorin / Pembalut dan Pantyliner Wanita / Perawatan Miss V Menstrual Cup Tampon Menstruasi / Anti Jamur Virus / Bebas Bocor,missy pure comfort,pembalut missy pure comfort all varian bebas bergerak seharian menyerap x lebih cepat bebas klorin pembalut dan pantyliner wanita perawatan miss v menstrual cup tampon menstruasi anti jamur virus bebas bocor,pembalut missy pure comfort varian bergerak seharian menyerap klorin pembalut pantyliner perawatan miss menstrual cup tampon menstruasi anti jamur virus bocor,balut missy pure comfort varian gerak hari serap klorin balut pantyliner awat miss menstrual cup tampon menstruasi anti jamur virus bocor,38.0,21.0,17.0,44.7
Shopee,Pantyliner Softex Daun Sirih + Vitamin E Longer & Wider 30 pads - Pantyliner Daun Sirih,softex daun sirih,pantyliner softex daun sirih vitamin e longer wider pads pantyliner daun sirih,pantyliner softex daun sirih vitamin longer wider pads pantyliner daun sirih,pantyliner softex daun sirih vitamin longer wider pads pantyliner daun sirih,16.0,11.0,5.0,31.2
Shopee,Seed Perapat Miss V Vagina Jamu Obat Pil Rapet Perapat Perapet Miss V Virgin Wangi Kewanitaan Wanita,miss v vagina jamu obat pil rapet,seed perapat miss v vagina jamu obat pil rapet perapat perapet miss v virgin wangi kewanitaan wanita,seed perapat miss vagina jamu obat pil rapet perapat perapet miss virgin kewanitaan,seed rapat miss vagina jamu obat pil rapet rapat perapet miss virgin wanita,17.0,13.0,4.0,23.5
Shopee,Softex Daun Sirih + Vitamin E Jumbo Pack 23cm isi 30 Pads - Pembalut Daun Sirih Siang,softex daun sirih + vitamin e,softex daun sirih vitamin e jumbo pack cm isi pads pembalut daun sirih siang,softex daun sirih vitamin pads pembalut daun sirih,softex daun sirih vitamin pads balut daun sirih,17.0,8.0,9.0,52.9
Shopee,Tes Hamil Onemed Tes Kehamilan Test Kehamilan Alat Test Pack Onemed,tes kehamilan,tes hamil onemed tes kehamilan test kehamilan alat test pack onemed,tes hamil onemed tes kehamilan test kehamilan alat test onemed,tes hamil onemed tes hamil test hamil alat test onemed,11.0,10.0,1.0,9.1
Shopee,1 Strip test LH Ovulation Pink / Ovulasi masa subur / Tes Kesuburan / Baby ovutest / Fertility Strip,strip test lh ovulasi,strip test lh ovulation pink ovulasi masa subur tes kesuburan baby ovutest fertility strip,strip test lh ovulation pink ovulasi tes kesuburan baby ovutest fertility strip,strip test lh ovulation pink ovulasi tes subur baby ovutest fertility strip,19.0,12.0,7.0,36.8
Shopee,Tes Ovulasi 20 pcs / Tes Kesuburan / LH Ovulation Test / Paket Diskon Grosir Tes Ovulasi,tes ovulasi,tes ovulasi pcs tes kesuburan lh ovulation test paket diskon grosir tes ovulasi,tes ovulasi tes kesuburan lh ovulation test tes ovulasi,tes ovulasi tes subur lh ovulation test tes ovulasi,17.0,9.0,8.0,47.1
Shopee,Laurier Relax Night Pembalut Wanita Wing 30cm 24 pcs,laurier relax night pembalut wanita,laurier relax night pembalut wanita wing cm pcs,laurier relax night pembalut wing,laurier relax night balut wing,9.0,5.0,4.0,44.4
Shopee,Andalan Pregnancy Test Midstream,andalan pregnancy test,andalan pregnancy test midstream,andalan pregnancy test midstream,andal pregnancy test midstream,4.0,4.0,0.0,0.0
Shopee,Softex Maternity Pembalut Ibu Bersalin,softex pembalut,softex maternity pembalut ibu bersalin,softex maternity pembalut bersalin,softex maternity balut salin,5.0,4.0,1.0,20.0
